job_title,experience_level,employment_type,salary_in_usd,work_year,company_location,job_role,salary_cad
Machine Learning Manager,Senior-level,FT,117104,2020,CA,AI / ML Engineer,158090.40000000002
Applied Data Scientist,Mid-level,FT,54238,2021,CA,Data Scientist,73221.3
Research Scientist,Mid-level,FT,187442,2021,CA,Other,253046.7
Data Scientist,Mid-level,FT,75774,2021,CA,Data Scientist,102294.90000000001
Data Science Engineer,Senior-level,FT,127221,2021,CA,Other,171748.35
Research Scientist,Senior-level,FT,96113,2021,CA,Other,129752.55
Machine Learning Scientist,Senior-level,FT,225000,2021,CA,AI / ML Engineer,303750.0
Data Scientist,Senior-level,FT,87738,2021,CA,Data Scientist,118446.3
Data Analyst,Senior-level,FT,71786,2021,CA,Data Analyst,96911.1
Research Scientist,Mid-level,FT,63810,2021,CA,Other,86143.5
Data Scientist,Senior-level,FT,103691,2021,CA,Data Scientist,139982.85
Big Data Architect,Senior-level,FT,99703,2021,CA,Other,134599.05000000002
Data Architect,Senior-level,FT,192400,2022,CA,Other,259740.00000000003
Data Architect,Senior-level,FT,90700,2022,CA,Other,122445.00000000001
Data Analyst,Senior-level,FT,130000,2022,CA,Data Analyst,175500.0
Data Analyst,Senior-level,FT,61300,2022,CA,Data Analyst,82755.0
Lead Data Engineer,Executive,FT,118187,2022,CA,Other,159552.45
Machine Learning Developer,Mid-level,FT,78791,2022,CA,AI / ML Engineer,106367.85
Director of Data Science,Executive,FT,196979,2022,CA,Other,265921.65
Principal Data Analyst,Mid-level,FT,75000,2022,CA,Data Analyst,101250.0
Machine Learning Developer,Senior-level,FT,78791,2022,CA,AI / ML Engineer,106367.85
Data Scientist,Entry-level,FT,52396,2022,CA,Data Scientist,70734.6
Business Data Analyst,Mid-level,FT,70912,2022,CA,Data Analyst,95731.20000000001
Data Scientist,Mid-level,FT,69336,2022,CA,Data Scientist,93603.6
Data Analyst,Mid-level,FT,85000,2022,CA,Data Analyst,114750.00000000001
Data Analyst,Mid-level,FT,75000,2022,CA,Data Analyst,101250.0
Data Analyst,Entry-level,FT,67000,2022,CA,Data Analyst,90450.0
Data Analyst,Entry-level,FT,52000,2022,CA,Data Analyst,70200.0
