work_year,job_title,experience_level_label,employment_type,company_size,company_location,work_type,salary_cad
2020,Machine Learning Manager,,Full-time,L,CA,Hybrid,158090.40000000002
2021,Applied Data Scientist,,Full-time,L,CA,Remote,73221.3
2021,Research Scientist,,Full-time,L,CA,Remote,253046.7
2021,Data Scientist,,Full-time,L,CA,Hybrid,102294.9
2021,Data Science Engineer,,Full-time,L,CA,Hybrid,171748.35
2021,Research Scientist,,Full-time,L,CA,Remote,129752.55
2021,Machine Learning Scientist,,Full-time,L,CA,Remote,303750.0
2021,Data Scientist,,Full-time,S,CA,Remote,118446.3
2021,Data Analyst,,Full-time,M,CA,Hybrid,96911.1
2021,Big Data Architect,,Full-time,M,CA,Remote,134599.05000000002
2022,Data Architect,,Full-time,M,CA,Remote,259740.00000000003
2022,Data Analyst,,Full-time,M,CA,Remote,175500.0
2022,Lead Data Engineer,,Full-time,S,CA,Remote,159552.45
2022,Machine Learning Developer,,Full-time,M,CA,Hybrid,106367.85
2022,Director of Data Science,,Full-time,L,CA,Remote,265921.65
2022,Principal Data Analyst,,Full-time,S,CA,Remote,101250.0
2022,Machine Learning Developer,,Full-time,M,CA,Remote,106367.85
2022,Data Scientist,,Full-time,L,CA,Hybrid,70734.6
2022,Business Data Analyst,,Full-time,L,CA,Remote,95731.2
2022,Data Scientist,,Full-time,M,CA,Remote,93603.6
2022,Data Analyst,,Full-time,M,CA,On-site,114750.0
2022,Data Analyst,,Full-time,M,CA,On-site,90450.0
